step,speed,heading,position_x,position_y,steering,throttle,brake,lane_index
115,0.8043252551402935,-0.34971246591153715,99.4792709350586,2.757603168487549,0.20027823575317677,0.7,0,"('>>>', '1S0_0_', 1)"
116,1.031136474173053,-0.34514141621652517,99.56136322021484,2.735307216644287,0.24028168308184217,0.7999999999999999,0,"('>>>', '1S0_0_', 1)"
117,1.2851251059419428,-0.33816220310580913,99.66643524169922,2.7091453075408936,0.28035914308948134,0.8999999999999999,0,"('>>>', '1S0_0_', 1)"
118,1.565722888861538,-0.328064694674719,99.7973861694336,2.6798155307769775,0.3204456136982588,0.9999999999999999,0,"('>>>', '1S0_0_', 1)"
119,1.8438846354339777,-0.31408882474814703,99.9564437866211,2.6486899852752686,0.3604987216650363,1.0,0,"('>>>', '1S0_0_', 1)"
120,2.119111415063738,-0.2956051552024519,100.1437759399414,2.6180741786956787,0.4005405234722386,1.0,0,"('>>>', '1S0_0_', 1)"
121,2.3907263694355323,-0.27201926848232816,100.35929870605469,2.590749979019165,0.4405962006449839,1.0,0,"('>>>', '1S0_0_', 1)"
122,2.65794175950997,-0.24275112810235733,100.60272216796875,2.570045232772827,0.48063553047902235,1.0,0,"('>>>', '1S0_0_', 1)"
123,2.919847384822933,-0.207253720774637,100.8734130859375,2.559879779815674,0.5206412286569685,1.0,0,"('>>>', '1S0_0_', 1)"
124,3.1753393927279143,-0.16501292325072647,101.17027282714844,2.564737319946289,0.5606782855722448,1.0,0,"('>>>', '1S0_0_', 1)"
125,3.423129261900757,-0.11555549180491909,101.49156188964844,2.5896217823028564,0.6007056108415224,1.0,0,"('>>>', '1S0_0_', 1)"
126,3.7280463188669364,-0.0650313311844819,101.8381118774414,2.6269419193267822,0.35080203871592586,1.0,0,"('>>>', '1S0_0_', 1)"
127,4.0053093667546396,-0.02960476394175693,102.21492004394531,2.652712821960449,0.10088888429755209,1.0,0,"('>>>', '1S0_0_', 1)"
128,4.230342077416079,-0.016279504269490985,102.61874389648438,2.6543283462524414,-0.14909577643185648,1.0,0,"('>>>', '1S0_0_', 1)"
129,4.499834113637413,-0.025852369965835287,103.04598999023438,2.6254334449768066,-0.18901274783418662,1.0,0,"('>>>', '1S0_0_', 1)"
130,4.778874361304213,-0.040214265092414436,103.49986267089844,2.5888636112213135,9.309931041154438e-05,1.0,0,"('>>>', '1S0_0_', 1)"
131,5.0655574221588,-0.04432711792187849,103.9828109741211,2.5635149478912354,5.1796546233879326e-05,1.0,0,"('>>>', '1S0_0_', 1)"
132,5.352541595445813,-0.04541009237915894,104.49459838867188,2.540661096572876,6.624742734083566e-05,1.0,0,"('>>>', '1S0_0_', 1)"
133,5.6395163788386755,-0.045678272700929945,105.03506469726562,2.5168135166168213,6.479699213608983e-05,1.0,0,"('>>>', '1S0_0_', 1)"
134,5.9246961603547295,-0.04416346667289339,105.6042251586914,2.493962287902832,0.04008403590037261,1.0,0,"('>>>', '1S0_0_', 1)"
135,6.20710857885341,-0.03725589259549977,106.20209503173828,2.4792227745056152,0.08016897687366507,1.0,0,"('>>>', '1S0_0_', 1)"
136,6.492785209409588,-0.028628315928079573,106.82840728759766,2.4692301750183105,6.198399230085639e-05,1.0,0,"('>>>', '1S0_0_', 1)"
137,6.779740775127724,-0.026199779330036144,107.48323822021484,2.4533910751342773,2.998131427978269e-05,1.0,0,"('>>>', '1S0_0_', 1)"
138,7.066721661999021,-0.025574868580248378,108.16671752929688,2.435617446899414,3.457158987037548e-05,1.0,0,"('>>>', '1S0_0_', 1)"
139,7.353707081066413,-0.025412682069863024,108.87889099121094,2.4171528816223145,9.194461307994045e-05,1.0,0,"('>>>', '1S0_0_', 1)"
140,7.638210949591519,-0.023335949051819682,109.61974334716797,2.4017744064331055,0.040119350823324094,1.0,0,"('>>>', '1S0_0_', 1)"
141,7.918973085268963,-0.014445917858971313,110.38908386230469,2.398627281188965,0.08021326150184066,1.0,0,"('>>>', '1S0_0_', 1)"
142,8.195293324633536,0.003078214745968033,111.18617248535156,2.4157798290252686,0.12023658251243388,1.0,0,"('>>>', '1S0_0_', 1)"
143,8.466130542563205,0.030131936679538285,112.00961303710938,2.462005615234375,0.16030040695347428,1.0,0,"('>>>', '1S0_0_', 1)"
144,8.729956729516823,0.06737051872795252,112.85697174072266,2.546963930130005,0.20038284790301103,1.0,0,"('>>>', '1S0_0_', 1)"
145,8.982827443414775,0.1151468297356466,113.72427368164062,2.6811184883117676,0.24039451387823138,1.0,0,"('>>>', '1S0_0_', 1)"
146,9.214803844189136,0.17325487419230434,114.60555267333984,2.87490177154541,0.28043415695869117,1.0,0,"('>>>', '1S0_0_', 1)"
147,9.415532112407217,0.24087493111439695,115.49243927001953,3.1375930309295654,0.320487555042192,1.0,0,"('>>>', '1S0_0_', 1)"
148,9.58292915990155,0.3151917729136029,116.37521362304688,3.4734268188476562,0.36050766240868604,1.0,0,"('>>>', '1S0_0_', 1)"
149,9.87643948544244,0.38292980787198694,117.25576782226562,3.8665428161621094,0.11057152901416666,1.0,0,"('>>>', '1S0_0_', 1)"
150,10.152460308429188,0.4173443739004812,118.15910339355469,4.2782158851623535,2.6350350693915714e-05,1.0,0,"('>>>', '1S0_0_', 1)"
151,10.439414102213508,0.4265887386763634,119.08985900878906,4.69786262512207,8.526506534040845e-06,1.0,0,"('>>>', '1S0_0_', 1)"
152,10.726351309325707,0.4287953007975496,120.04570007324219,5.131678104400635,8.119456522216655e-05,1.0,0,"('>>>', '1S0_0_', 1)"
153,10.843652817697862,0.42352117657475574,121.02706909179688,5.568246364593506,-0.24991601264904928,1.0,0,"('>>>', '1S0_0_', 0)"
154,11.125245187201275,0.40604884245301864,122.03302764892578,5.98903751373291,4.7145338794867754e-05,1.0,0,"('>>>', '1S0_0_', 0)"
155,11.412228172416885,0.40102665326934783,123.06267547607422,6.4253082275390625,8.132096484195724e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
156,11.52569726659232,0.39387979416801056,124.11894989013672,6.860990047454834,-0.2499024156783339,1.0,0,"('1S0_0_', '2C0_0_', 0)"
157,11.807660118194867,0.375916772615426,125.19994354248047,7.278082847595215,2.5143590655341043e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
158,12.094654801018834,0.3707980438422398,126.30558013916016,7.708605766296387,1.5162175279021184e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
159,12.204972406267938,0.36371470113290094,127.43805694580078,8.136966705322266,-0.2499011254460358,1.0,0,"('1S0_0_', '2C0_0_', 0)"
160,12.4875051234278,0.3459962909264407,128.5946807861328,8.545514106750488,8.691033557128554e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
161,12.774496354245082,0.3409856864935108,129.776611328125,8.965888977050781,1.689337330052937e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
162,12.88198182125597,0.33394322330690507,130.98538208007812,9.383005142211914,-0.24990393866063834,1.0,0,"('1S0_0_', '2C0_0_', 0)"
163,13.164964234064982,0.3163455874558796,132.21766662597656,9.779155731201172,5.1193362290376263e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
164,13.451953069555989,0.3113962357280222,133.47589111328125,10.185553550720215,9.072548666335473e-05,1.0,0,"('1S0_0_', '2C0_0_', 0)"
165,13.734172246850173,0.31391678454172744,134.75978088378906,10.605325698852539,0.04009523590751085,1.0,0,"('1S0_0_', '2C0_0_', 0)"
166,13.949323603615596,0.3292974719433168,136.0609893798828,11.056674003601074,0.08018001856891234,0.8,0,"('1S0_0_', '2C0_0_', 1)"
167,14.088676789651174,0.3585598865269439,137.3663787841797,11.55447006225586,0.1202394462508516,0.6000000000000001,0,"('1S0_0_', '2C0_0_', 1)"
168,14.152475565457587,0.4007692587499907,138.66061401367188,12.112927436828613,0.16032979655944704,0.4000000000000001,0,"('2C0_0_', '2C0_1_', 1)"
169,13.439283348410068,0.45131312676249635,139.9137725830078,12.73038101196289,0.20038638936148814,0,0.5,"('2C0_0_', '2C0_1_', 1)"
170,12.509819943234206,0.5088657689738172,141.07029724121094,13.375469207763672,0.24041118242344128,0,1.0,"('2C0_0_', '2C0_1_', 1)"
171,11.62855798687635,0.5812586766225225,142.1134796142578,14.03410530090332,0.28045362407355645,0,1.0,"('2C0_0_', '2C0_1_', 1)"
