step,speed,heading,position_x,position_y,steering,throttle,brake,lane_index
52,10.596841647401046,-0.005589708811967853,24.992639541625977,3.4921765327453613,-0.24983657126743147,1.0,0,"('>>', '>>>', 1)"
53,10.716904016921356,-0.03400244184980483,26.053022384643555,3.437364339828491,-0.2898106962392801,1.0,0,"('>>', '>>>', 1)"
54,10.833224597869497,-0.0810755451716636,27.12064552307129,3.3234033584594727,-0.3297981389571384,1.0,0,"('>>', '>>>', 1)"
55,10.940539717430594,-0.1402200919245793,28.190324783325195,3.140782117843628,-0.36977988377950666,1.0,0,"('>>', '>>>', 1)"
56,11.23900538532858,-0.1979884501841962,29.264358520507812,2.898998975753784,-0.11969725658168001,1.0,0,"('>>', '>>>', 1)"
57,11.513107521903702,-0.23267985180800466,30.360815048217773,2.6302576065063477,8.377153948296807e-05,1.0,0,"('>>', '>>>', 1)"
58,11.800071110481271,-0.24215711002121587,31.484901428222656,2.3560471534729004,1.8631470884014156e-05,1.0,0,"('>>', '>>>', 1)"
59,12.087017012566053,-0.24438804006637493,32.63605499267578,2.0717318058013916,6.437389473135914e-05,1.0,0,"('>>', '>>>', 1)"
60,12.369911454544463,-0.24157214668777982,33.81578063964844,1.7840996980667114,0.04013811359511451,1.0,0,"('>>', '>>>', 1)"
61,12.645564781262015,-0.22740373021439453,35.02771759033203,1.5109434127807617,0.08023435206164918,1.0,0,"('>>', '>>>', 2)"
62,12.904419369006877,-0.20017863386467827,36.27372741699219,1.2689456939697266,0.12024982723539593,1.0,0,"('>>', '>>>', 2)"
63,13.182396064695057,-0.17155431267823396,37.55168533325195,1.0552207231521606,5.4063481368817366e-05,1.0,0,"('>>', '>>>', 2)"
64,13.469395470585845,-0.16364206107960833,38.857547760009766,0.8369501829147339,9.201164157854899e-05,1.0,0,"('>>', '>>>', 2)"
65,13.751720276677945,-0.15807791861410614,40.193172454833984,0.623930037021637,0.040187469654154304,1.0,0,"('>>', '>>>', 2)"
66,14.03847905768333,-0.14928868806851714,41.558998107910156,0.4203975200653076,8.758135367761673e-05,1.0,0,"('>>', '>>>', 2)"
67,14.32546035838416,-0.14690196309958825,42.95322036743164,0.21282479166984558,4.474898848070752e-06,1.0,0,"('>>', '>>>', 2)"
68,14.612437812128539,-0.1463421666384539,44.376041412353516,0.002511870115995407,7.253618074804892e-05,1.0,0,"('>>', '>>>', 2)"
69,14.894264858572226,-0.14222372117070048,45.82819747924805,-0.20418031513690948,0.04014616347309142,1.0,0,"('>>', '>>>', 2)"
70,15.161458211952962,-0.1254700410691214,47.311370849609375,-0.3871481716632843,0.08016514189626138,1.0,0,"('>>', '>>>', 2)"
71,15.389108966739132,-0.09459388402296032,48.8251953125,-0.5259819030761719,0.12024079019511465,1.0,0,"('>>', '>>>', 2)"
72,15.573805249544998,-0.05208064511953481,50.36550521850586,-0.6022430062294006,0.16033506919610213,1.0,0,"('>>>', '1S0_0_', 2)"
73,15.71426765475528,-0.0030961910833262607,51.92544937133789,-0.6055879592895508,0.20042084123870216,1.0,0,"('>>>', '1S0_0_', 2)"
74,15.980123678280705,0.03833686968196304,53.5012321472168,-0.5519816875457764,6.142125474515e-05,1.0,0,"('>>>', '1S0_0_', 2)"
75,16.266856174809917,0.05000417841760019,55.103431701660156,-0.4818273186683655,3.0431078916892695e-05,1.0,0,"('>>>', '1S0_0_', 2)"
76,16.55381506894885,0.05263538157459813,56.7337646484375,-0.39917173981666565,8.655145319077143e-05,1.0,0,"('>>>', '1S0_0_', 2)"
77,16.65088398864868,0.04754621388951108,58.38845443725586,-0.3222912549972534,-0.249834478717683,1.0,0,"('>>>', '1S0_0_', 2)"
78,16.9359924220184,0.031119703127847842,60.05915832519531,-0.2719537019729614,8.89808263477558e-05,1.0,0,"('>>>', '1S0_0_', 2)"
79,17.222940436403597,0.026626417736666852,61.75779342651367,-0.2232161909341812,9.427188626112702e-05,1.0,0,"('>>>', '1S0_0_', 2)"
80,17.509936622283362,0.02563665391753922,63.485225677490234,-0.17754141986370087,2.653805477571286e-05,1.0,0,"('>>>', '1S0_0_', 2)"
81,17.79693379026985,0.025431989987765746,65.24138641357422,-0.1325186789035797,2.0772658582070115e-06,1.0,0,"('>>>', '1S0_0_', 2)"
82,18.08393297637024,0.02540003205468544,67.0262451171875,-0.08717688918113708,6.0762030835578684e-05,1.0,0,"('>>>', '1S0_0_', 2)"
83,18.364157489155748,0.030295854244632103,68.83929443359375,-0.03223247826099396,0.0401049420375271,1.0,0,"('>>>', '1S0_0_', 2)"
84,18.604948374334647,0.04956702052466433,70.67782592773438,0.057348139584064484,0.08010741109922366,1.0,0,"('>>>', '1S0_0_', 2)"
85,18.794235828280627,0.08308743021716403,72.53575134277344,0.20609191060066223,0.12019605391681844,1.0,0,"('>>>', '1S0_0_', 2)"
86,18.934851357185476,0.12426828962722247,74.40457916259766,0.42862391471862793,0.16028575304258785,1.0,0,"('>>>', '1S0_0_', 2)"
87,19.03253270025003,0.16974509419168804,76.27560424804688,0.7307173609733582,0.2003072697081696,1.0,0,"('>>>', '1S0_0_', 2)"
88,19.24304659751065,0.20516020984172556,78.14775848388672,1.093360185623169,-0.04961199744553426,1.0,0,"('>>>', '1S0_0_', 2)"
89,19.527894372088944,0.205946641311626,80.04051208496094,1.470513105392456,5.6487493374773236e-05,1.0,0,"('>>>', '1S0_0_', 2)"
90,19.814876446848398,0.20544769808140018,81.95803833007812,1.8691885471343994,4.6112334366829256e-05,1.0,0,"('>>>', '1S0_0_', 1)"
91,20.101857314768278,0.2053221300360022,83.90336608886719,2.2750933170318604,9.015916517595691e-05,1.0,0,"('>>>', '1S0_0_', 1)"
92,20.388836492282227,0.2053207984554577,85.8768539428711,2.686554193496704,2.1858861662350738e-06,1.0,0,"('>>>', '1S0_0_', 1)"
93,20.675818458479004,0.20533091846759977,87.87849426269531,3.1036014556884766,3.319550335407829e-05,1.0,0,"('>>>', '1S0_0_', 1)"
94,20.962797296505055,0.20535515323351916,89.90824127197266,3.5264296531677246,7.675482290087035e-05,1.0,0,"('>>>', '1S0_0_', 1)"
95,21.249786271517532,0.20539443485959819,91.9660873413086,3.9551286697387695,7.463775247640729e-05,1.0,0,"('>>>', '1S0_0_', 1)"
96,21.53677758444034,0.20543265122124055,94.05200958251953,4.389747142791748,5.0844590919766965e-05,1.0,0,"('>>>', '1S0_0_', 1)"
97,20.540481467497752,0.20546301125766764,96.13407897949219,4.823635578155518,4.682130467247027e-05,0,0.5,"('>>>', '1S0_0_', 1)"
98,19.25227851818768,0.20548618075915126,98.11674499511719,5.23685359954834,1.7092869431164503e-07,0,1.0,"('>>>', '1S0_0_', 1)"
99,18.002094845992904,0.20551747290195976,99.97713470458984,5.624617099761963,7.355912046906766e-05,0,1.0,"('>>>', '1S0_0_', 0)"
100,16.714631629774694,0.20556727401434394,101.71442413330078,5.986794948577881,7.194093759207923e-05,0,1.0,"('>>>', '1S0_0_', 0)"
101,15.398784929096296,0.20562280092307272,103.32495880126953,6.322608947753906,1.1273601380383146e-05,0,1.0,"('>>>', '1S0_0_', 0)"
102,14.64111240081445,0.19797473490458284,104.82429504394531,6.620002746582031,-0.24996953161128369,0,1.0,"('>>>', '1S0_0_', 0)"
103,11.058833720602303,0.17871288968836652,106.23580932617188,6.865912437438965,8.129747703518293e-05,0,1.0,"('>>>', '1S0_0_', 0)"
